asset,Current Portfolio,KAW Core Revised Internal,QQQ 100%
QQQ,0.48674962696279994,0.12335225337545573,1.0
SPMO,0.19361299605698643,0.0,0.0
AIA,0.043915814433728544,0.0,0.0
XLE,0.05366830258653442,0.0,0.0
SCHD,0.04282170535918959,0.08070441283097624,0.0
GLD,0.18022784689373536,0.18900708459842605,0.0
138920,-0.0009962922929744925,-0.0,-0.0
EWY,0.0,0.13468469662461416,0.0
192090,0.0,0.06720418517108233,0.0
200250,0.0,0.06664996899435183,0.0
EWJ,0.0,0.039711976923510355,0.0
TLT,0.0,0.29868542148158334,0.0
