metric,unit,Current Portfolio,KAW Core Revised Internal,QQQ 100%,benchmark
Start Balance,balance,10000.0,10000.0,10000.0,10000.0
End Balance,balance,62126.36894991145,29671.798977938433,82759.66656388305,53468.18524240763
CAGR,pct,18.365591930459257,10.560749296829396,21.54069883605343,16.737075785378597
Annualized Return,pct,17.59516383601,10.52053407431331,21.281587130359448,16.577788989057694
Standard Deviation,pct,11.159642845750286,9.386487023935613,18.0453922696675,14.201428685050224
Best Year,pct,40.18584498154281,25.30339759846505,57.92840521669853,43.41165856733367
Worst Year,pct,-5.086937679539139,-12.801375131805425,-27.823402273623422,-13.336279446010678
Maximum Drawdown,pct,-10.45851526207694,-12.80137513180546,-27.823402273623433,-17.40989191862605
Sharpe Ratio (ex-post),ratio,1.2326273580186864,0.7117733502060877,0.9665683134556844,0.8969735730776549
Sortino Ratio,ratio,2.1513704721870677,1.1037463067886206,1.5984576427226556,1.4505824652968646
