portfolio,rank,start,bottom,recovery,maximum_drawdown,duration_months
optimized,1,2022-01-31,2022-09-30,2023-05-31,-0.18779093252793844,17
optimized,2,2020-09-30,2020-10-31,2020-12-31,-0.06254618155616054,4
optimized,3,2023-08-31,2023-09-30,2023-11-30,-0.06179685332386997,4
optimized,4,2020-02-29,2020-03-31,2020-04-30,-0.057193631609597784,3
optimized,5,2021-01-31,2021-03-31,2021-05-31,-0.056143186194442585,5
optimized,6,2021-09-30,2021-09-30,2021-11-30,-0.04197714857474932,3
optimized,7,2019-05-31,2019-05-31,2019-06-30,-0.021964023616563133,2
optimized,8,2021-06-30,2021-06-30,2021-07-31,-0.01836413441211715,2
optimized,9,2019-09-30,2019-09-30,2019-10-31,-0.01686647060975277,2
optimized,10,2024-12-31,2024-12-31,2025-01-31,-0.006710112797969847,2
optimized,11,2019-11-30,2019-11-30,2019-12-31,-0.003259743188091746,2
optimized,12,2024-01-31,2024-01-31,2024-02-29,-0.001387499421449001,2
provided,1,2022-01-31,2022-09-30,2023-06-30,-0.21183357912352918,18
provided,2,2020-02-29,2020-03-31,2020-04-30,-0.06975288077843322,3
provided,3,2020-09-30,2020-10-31,2020-12-31,-0.06668527630702159,4
provided,4,2023-08-31,2023-09-30,2023-11-30,-0.0623269854104922,4
provided,5,2021-01-31,2021-02-28,2021-04-30,-0.04629102372886529,4
provided,6,2021-09-30,2021-09-30,2021-10-31,-0.044533383374148805,2
provided,7,2019-05-31,2019-05-31,2019-06-30,-0.03233872924567904,2
provided,8,2019-09-30,2019-09-30,2019-10-31,-0.012384378824328857,2
provided,9,2024-04-30,2024-04-30,2024-05-31,-0.006921430186406674,2
provided,10,2024-12-31,2024-12-31,2025-01-31,-0.004774055416794654,2
provided,11,2021-06-30,2021-06-30,2021-07-31,-0.004427619438549524,2
provided,12,2025-02-28,2025-02-28,2025-03-31,-0.004409157570954392,2
benchmark,1,2022-01-31,2022-09-30,2023-12-31,-0.2392719604670448,24
benchmark,2,2020-01-31,2020-03-31,2020-07-31,-0.19447724254490883,7
benchmark,3,2025-02-28,2025-04-30,2025-06-30,-0.07578974101565727,5
benchmark,4,2019-05-31,2019-05-31,2019-06-30,-0.06377081585658906,2
benchmark,5,2020-09-30,2020-10-31,2020-11-30,-0.06144347235265257,3
benchmark,6,2021-09-30,2021-09-30,2021-10-31,-0.04660555272263556,2
benchmark,7,2024-04-30,2024-04-30,2024-05-31,-0.040319683848860643,2
benchmark,8,2024-12-31,2024-12-31,2025-01-31,-0.02406006705359487,2
benchmark,9,2019-08-31,2019-08-31,2019-09-30,-0.01674356858619752,2
benchmark,10,2021-01-31,2021-01-31,2021-02-28,-0.010190279558232374,2
benchmark,11,2024-10-31,2024-10-31,2024-11-30,-0.008923538766048789,2
benchmark,12,2021-11-30,2021-11-30,2021-12-31,-0.008034844970695287,2
