portfolio,rank,start,bottom,recovery,maximum_drawdown,duration_months
optimized,1,2022-01-31,2022-09-30,2023-05-31,-0.1877909254371437,17
optimized,2,2020-09-30,2020-10-31,2020-12-31,-0.06254616578949335,4
optimized,3,2023-08-31,2023-09-30,2023-11-30,-0.061796854340779195,4
optimized,4,2020-02-29,2020-03-31,2020-04-30,-0.05719356470853032,3
optimized,5,2021-01-31,2021-03-31,2021-05-31,-0.05614307553823983,5
optimized,6,2021-09-30,2021-09-30,2021-11-30,-0.04197709784421422,3
optimized,7,2019-05-31,2019-05-31,2019-06-30,-0.021964014391552933,2
optimized,8,2021-06-30,2021-06-30,2021-07-31,-0.018364132921244947,2
optimized,9,2019-09-30,2019-09-30,2019-10-31,-0.016866512482122342,2
optimized,10,2024-12-31,2024-12-31,2025-01-31,-0.006710149530101961,2
optimized,11,2019-11-30,2019-11-30,2019-12-31,-0.003259634160902136,2
optimized,12,2024-01-31,2024-01-31,2024-02-29,-0.0013873901393096633,2
provided,1,2022-01-31,2022-09-30,2023-06-30,-0.2118333957444012,18
provided,2,2020-02-29,2020-03-31,2020-04-30,-0.06975270493539032,3
provided,3,2020-09-30,2020-10-31,2020-12-31,-0.06668522628819717,4
provided,4,2023-08-31,2023-09-30,2023-11-30,-0.06232698280685911,4
provided,5,2021-01-31,2021-02-28,2021-04-30,-0.04629092754607045,4
provided,6,2021-09-30,2021-09-30,2021-10-31,-0.044533300611786064,2
provided,7,2019-05-31,2019-05-31,2019-06-30,-0.03233864162157318,2
provided,8,2019-09-30,2019-09-30,2019-10-31,-0.012384464508086612,2
provided,9,2024-04-30,2024-04-30,2024-05-31,-0.006921534530806683,2
provided,10,2024-12-31,2024-12-31,2025-01-31,-0.004774115965823,2
provided,11,2021-06-30,2021-06-30,2021-07-31,-0.004427719619673365,2
provided,12,2025-02-28,2025-02-28,2025-03-31,-0.004409330984150306,2
benchmark,1,2022-01-31,2022-09-30,2023-12-31,-0.23927178828328322,24
benchmark,2,2020-01-31,2020-03-31,2020-07-31,-0.19447693916322917,7
benchmark,3,2025-02-28,2025-04-30,2025-06-30,-0.07578984416954637,5
benchmark,4,2019-05-31,2019-05-31,2019-06-30,-0.06377131358264565,2
benchmark,5,2020-09-30,2020-10-31,2020-11-30,-0.061443371655593215,3
benchmark,6,2021-09-30,2021-09-30,2021-10-31,-0.046605411473920166,2
benchmark,7,2024-04-30,2024-04-30,2024-05-31,-0.040319511345176307,2
benchmark,8,2024-12-31,2024-12-31,2025-01-31,-0.02406006954082074,2
benchmark,9,2019-08-31,2019-08-31,2019-09-30,-0.016743454946437586,2
benchmark,10,2021-01-31,2021-01-31,2021-02-28,-0.010190277766667477,2
benchmark,11,2024-10-31,2024-10-31,2024-11-30,-0.00892343020322095,2
benchmark,12,2021-11-30,2021-11-30,2021-12-31,-0.008034846679020546,2
