date,optimized,optimized,provided,provided,benchmark,benchmark
,36m,60m,36m,60m,36m,60m
2019-01-31,,,,,,
2019-02-28,,,,,,
2019-03-31,,,,,,
2019-04-30,,,,,,
2019-05-31,,,,,,
2019-06-30,,,,,,
2019-07-31,,,,,,
2019-08-31,,,,,,
2019-09-30,,,,,,
2019-10-31,,,,,,
2019-11-30,,,,,,
2019-12-31,,,,,,
2020-01-31,,,,,,
2020-02-29,,,,,,
2020-03-31,,,,,,
2020-04-30,,,,,,
2020-05-31,,,,,,
2020-06-30,,,,,,
2020-07-31,,,,,,
2020-08-31,,,,,,
2020-09-30,,,,,,
2020-10-31,,,,,,
2020-11-30,,,,,,
2020-12-31,,,,,,
2021-01-31,,,,,,
2021-02-28,,,,,,
2021-03-31,,,,,,
2021-04-30,,,,,,
2021-05-31,,,,,,
2021-06-30,,,,,,
2021-07-31,,,,,,
2021-08-31,,,,,,
2021-09-30,,,,,,
2021-10-31,,,,,,
2021-11-30,,,,,,
2021-12-31,0.22397548684073953,,0.2509384932341012,,0.25968829178036823,
2022-01-31,0.18480566232110007,,0.20537031967199382,,0.2057832636938548,
2022-02-28,0.1891282778797707,,0.20390701145870582,,0.18117340793199843,
2022-03-31,0.19706404094201213,,0.21103050334115836,,0.1886630720106075,
2022-04-30,0.16313003604345822,,0.1691991658635048,,0.13753311104179122,
2022-05-31,0.1615353016618335,,0.17245166966854764,,0.1636696830490374,
2022-06-30,0.11552840567810718,,0.1231553021068994,,0.10568826016313992,
2022-07-31,0.12458789136607962,,0.13708312006794232,,0.13295525447765577,
2022-08-31,0.0956088055602431,,0.11054874375312584,,0.12363845020498054,
2022-09-30,0.07966313615404386,,0.08964192383067648,,0.08092188494291253,
2022-10-31,0.06990060566948086,,0.08127928392424755,,0.10139042185127178,
2022-11-30,0.0966015807094065,,0.10442211464488782,,0.10821908865695251,
2022-12-31,0.07669747311439101,,0.07970437496254679,,0.0761848623531669,
2023-01-31,0.08957207062686257,,0.09486228253966789,,0.0984350894243522,
2023-02-28,0.08732307387398208,,0.09668344185949329,,0.11950901413542958,
