portfolio,rank,start,bottom,recovery,duration_months,maximum_drawdown_pct
optimized,1,2022-01-31,2022-09-30,2023-05-31,17,-18.779093252793842
optimized,2,2020-09-30,2020-10-31,2020-12-31,4,-6.254618155616054
optimized,3,2023-08-31,2023-09-30,2023-11-30,4,-6.179685332386997
optimized,4,2020-02-29,2020-03-31,2020-04-30,3,-5.719363160959778
optimized,5,2021-01-31,2021-03-31,2021-05-31,5,-5.6143186194442585
optimized,6,2021-09-30,2021-09-30,2021-11-30,3,-4.197714857474932
optimized,7,2019-05-31,2019-05-31,2019-06-30,2,-2.1964023616563133
optimized,8,2021-06-30,2021-06-30,2021-07-31,2,-1.836413441211715
optimized,9,2019-09-30,2019-09-30,2019-10-31,2,-1.686647060975277
optimized,10,2024-12-31,2024-12-31,2025-01-31,2,-0.6710112797969847
optimized,11,2019-11-30,2019-11-30,2019-12-31,2,-0.3259743188091746
optimized,12,2024-01-31,2024-01-31,2024-02-29,2,-0.1387499421449001
provided,1,2022-01-31,2022-09-30,2023-06-30,18,-21.183357912352918
provided,2,2020-02-29,2020-03-31,2020-04-30,3,-6.975288077843322
provided,3,2020-09-30,2020-10-31,2020-12-31,4,-6.668527630702159
provided,4,2023-08-31,2023-09-30,2023-11-30,4,-6.23269854104922
provided,5,2021-01-31,2021-02-28,2021-04-30,4,-4.629102372886528
provided,6,2021-09-30,2021-09-30,2021-10-31,2,-4.4533383374148805
provided,7,2019-05-31,2019-05-31,2019-06-30,2,-3.2338729245679043
provided,8,2019-09-30,2019-09-30,2019-10-31,2,-1.2384378824328857
provided,9,2024-04-30,2024-04-30,2024-05-31,2,-0.6921430186406674
provided,10,2024-12-31,2024-12-31,2025-01-31,2,-0.47740554167946536
provided,11,2021-06-30,2021-06-30,2021-07-31,2,-0.4427619438549524
provided,12,2025-02-28,2025-02-28,2025-03-31,2,-0.4409157570954392
benchmark,1,2022-01-31,2022-09-30,2023-12-31,24,-23.92719604670448
benchmark,2,2020-01-31,2020-03-31,2020-07-31,7,-19.447724254490883
benchmark,3,2025-02-28,2025-04-30,2025-06-30,5,-7.578974101565727
benchmark,4,2019-05-31,2019-05-31,2019-06-30,2,-6.377081585658906
benchmark,5,2020-09-30,2020-10-31,2020-11-30,3,-6.144347235265258
benchmark,6,2021-09-30,2021-09-30,2021-10-31,2,-4.660555272263556
benchmark,7,2024-04-30,2024-04-30,2024-05-31,2,-4.031968384886064
benchmark,8,2024-12-31,2024-12-31,2025-01-31,2,-2.406006705359487
benchmark,9,2019-08-31,2019-08-31,2019-09-30,2,-1.6743568586197521
benchmark,10,2021-01-31,2021-01-31,2021-02-28,2,-1.0190279558232374
benchmark,11,2024-10-31,2024-10-31,2024-11-30,2,-0.8923538766048789
benchmark,12,2021-11-30,2021-11-30,2021-12-31,2,-0.8034844970695287
