metric,unit,provided,optimized,benchmark
Start Balance,balance,1.0,1.0,1.0
End Balance,balance,3.8813132156420305,3.777296424179632,3.0566175265180315
CAGR,pct,21.377954123939745,20.907833202469362,17.305981336253517
Annualized Return,pct,20.379931992297607,19.915087035988048,17.429518517726883
Expected Return,pct,20.37993199229761,19.915087035988048,17.429518517726883
Standard Deviation,pct,13.173878725757282,12.636939072579578,16.57054517527227
Best Year,pct,42.64721029459233,47.147279493981856,31.223880034719897
Worst Year,pct,-17.311524284877677,-13.9657515835927,-18.17536688271669
Maximum Drawdown,pct,-21.183357912352918,-18.779093252793842,-23.92719604670448
Sharpe Ratio (ex-post),ratio,1.3951799902606938,1.4176761423865158,0.9311412723313349
Sortino Ratio,ratio,2.598961908314183,2.7661196130326338,1.4880179536917228
