date,optimized,optimized,provided,provided,benchmark,benchmark
,36m,60m,36m,60m,36m,60m
2019-01-31,,,,,,
2019-02-28,,,,,,
2019-03-31,,,,,,
2019-04-30,,,,,,
2019-05-31,,,,,,
2019-06-30,,,,,,
2019-07-31,,,,,,
2019-08-31,,,,,,
2019-09-30,,,,,,
2019-10-31,,,,,,
2019-11-30,,,,,,
2019-12-31,,,,,,
2020-01-31,,,,,,
2020-02-29,,,,,,
2020-03-31,,,,,,
2020-04-30,,,,,,
2020-05-31,,,,,,
2020-06-30,,,,,,
2020-07-31,,,,,,
2020-08-31,,,,,,
2020-09-30,,,,,,
2020-10-31,,,,,,
2020-11-30,,,,,,
2020-12-31,,,,,,
2021-01-31,,,,,,
2021-02-28,,,,,,
2021-03-31,,,,,,
2021-04-30,,,,,,
2021-05-31,,,,,,
2021-06-30,,,,,,
2021-07-31,,,,,,
2021-08-31,,,,,,
2021-09-30,,,,,,
2021-10-31,,,,,,
2021-11-30,,,,,,
2021-12-31,0.22397542992376485,,0.25093851016669166,,0.2596882344490168,
2022-01-31,0.1848056378299563,,0.2053703570936234,,0.2057833180665387,
2022-02-28,0.1891282092007205,,0.20390697366236488,,0.18117344583210726,
2022-03-31,0.19706399027384247,,0.21103048575104277,,0.18866303455309952,
2022-04-30,0.1631300896375869,,0.1691992553088768,,0.13753300772538535,
2022-05-31,0.16153531669520116,,0.1724517260855143,,0.16366969593443015,
2022-06-30,0.11552834470553042,,0.12315525051477616,,0.10568815474067161,
2022-07-31,0.12458791822764659,,0.13708319539955682,,0.13295525447765555,
2022-08-31,0.09560881506364849,,0.1105488048914034,,0.1236383891783921,
2022-09-30,0.07966308526316657,,0.08964189097992414,,0.0809217300566456,
2022-10-31,0.06990058553502987,,0.08127929462727979,,0.10139039137267747,
2022-11-30,0.09660155139418447,,0.10442210171634381,,0.10821925731522031,
2022-12-31,0.07669748873766302,,0.07970440405685308,,0.07618467577845833,
2023-01-31,0.08957204799122387,,0.09486227061326935,,0.09843513756949585,
2023-02-28,0.08732300244321545,,0.09668338151308098,,0.1195089297927443,
